内容,主题概率,主题类型
新鲜 保质期,"[(0, 0.05558429), (1, 0.055576727), (2, 0.05710218), (3, 0.055885572), (4, 0.7202554), (5, 0.055595797)]",4
理想 保质期,"[(0, 0.055579413), (1, 0.056255102), (2, 0.4044459), (3, 0.05638945), (4, 0.37172714), (5, 0.055603)]",2
新鲜,"[(0, 0.083358765), (1, 0.08334155), (2, 0.5828785), (3, 0.08334751), (4, 0.0837088), (5, 0.08336495)]",2
天润 酸奶 酸奶 拉丝 感觉 酸奶 客服 情况 客服 售后 售后 酸奶 天润 牌子,"[(0, 0.011199436), (1, 0.0111442255), (2, 0.011157251), (3, 0.9440913), (4, 0.011183806), (5, 0.011223955)]",3
体验 酸奶 保质期 酸奶 过分,"[(0, 0.027814513), (1, 0.027791949), (2, 0.02784153), (3, 0.86079466), (4, 0.02793751), (5, 0.027819829)]",3
保质期 太短 保质期,"[(0, 0.04180978), (1, 0.25425333), (2, 0.041839678), (3, 0.04225487), (4, 0.578024), (5, 0.041818306)]",4
恶心 酸臭,"[(0, 0.05690536), (1, 0.05665697), (2, 0.05667525), (3, 0.05670082), (4, 0.056666613), (5, 0.71639496)]",5
货是 下单 保质期 生产日期,"[(0, 0.033364203), (1, 0.033374757), (2, 0.033485632), (3, 0.83259386), (4, 0.03370752), (5, 0.033474017)]",3
保质期 食品 京东 不鲜,"[(0, 0.03368351), (1, 0.03368984), (2, 0.033709493), (3, 0.033801842), (4, 0.83142143), (5, 0.033693954)]",4
气垫 薄膜袋,"[(0, 0.058622926), (1, 0.05861795), (2, 0.70682716), (3, 0.05863248), (4, 0.05864605), (5, 0.05865347)]",2
用户 评价 内容,"[(0, 0.041719537), (1, 0.04223849), (2, 0.04190919), (3, 0.48318377), (4, 0.34920347), (5, 0.041745517)]",3
小桶 质量 卖相 形状 太拉,"[(0, 0.85757273), (1, 0.02822603), (2, 0.029127093), (3, 0.028390773), (4, 0.028375661), (5, 0.0283077)]",0
口感 厚重 厚实 收货 冰箱 冷藏,"[(0, 0.023831666), (1, 0.023817929), (2, 0.14305218), (3, 0.7614488), (4, 0.023969937), (5, 0.02387952)]",3
