主题数,困惑度,一致性
2,-6.734423255073693,0.4294072841800005
3,-6.774693705557762,0.47502203225305234
4,-6.724317266343838,0.4733765728892428
5,-6.955232028643044,0.4509871344444451
6,-6.896754853527282,0.47894654797059105
7,-6.876499835488601,0.4509330869132017
8,-6.967868434607355,0.4797546434598788
9,-7.145394381922599,0.43377368219264145
10,-7.1951422304841595,0.45425358439262203
11,-7.46233443731163,0.46894676663521334
12,-7.8338641366935,0.4152263873492163
13,-8.192317448718903,0.4804330225423407
14,-8.610157929794756,0.45445261044794993
